,Long-form data quality indicators – Housing characteristics (20),Tenure - Non-response rate,Tenure - Imputation rate,Condominium status - Non-response rate,Condominium status - Imputation rate,Number of rooms - Non-response rate,Number of rooms - Imputation rate,Number of bedrooms - Non-response rate,Number of bedrooms - Imputation rate,Period of construction - Non-response rate,Period of construction - Imputation rate,Dwelling condition - Non-response rate,Dwelling condition - Imputation rate,Rent monthly cash - Non-response rate,Rent monthly cash - Imputation rate,Monthly mortgage payments - Non-response rate,Monthly mortgage payments - Imputation rate,Value (owner estimated) - Non-response rate,Value (owner estimated) - Imputation rate,Monthly use or occupancy payment for dwelling - Non-response rate,Monthly use or occupancy payment for dwelling - Imputation rate
Mayo (2480065) MÉ i467,5.5,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,0,0,0,0,0,0,0,0
Mulgrave-et-Derry (2480085) MÉ i468,20.3,6.7,0,6.8,6.8,4.4,6.7,4.4,4.4,4.4,4.4,6.7,6.7,0,0,0,0,10.3,10.3,0,0
Val-des-Bois (2480140) MÉ i469,13.3,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0,0,9.9,9.9,9.9,11.1,0,0
Bowman (2480145) MÉ i470,15.7,3,3,0,0,0,0,0,3,0,0,0,0,0,0,5,6.7,10,13.3,0,0
Gatineau (2481017) V i471,4.3,2.8,2.5,2.7,2.3,2.6,4.4,2.6,2.9,3.5,3.5,2.7,2.7,4.9,5.1,3.3,3.4,4,4.9,0,0
L'Ange-Gardien (2482005) MÉ i472,3,3,3,3,3,3.4,4.6,3.4,3.4,3,3,3,3,0,0,6.8,6.8,6.8,8,0,0
Notre-Dame-de-la-Salette (2482010) MÉ i473,11.1,3.9,3.9,4.1,4.1,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,0,0,11.5,13.1,9.8,13.1,0,0
Val-des-Monts (2482015) MÉ i474,8.7,2.6,2.5,2.4,2.5,2.9,3.9,2.9,3.1,2.7,2.7,2.8,2.8,4.2,4.2,4.7,5.1,5.5,6.4,0,0
Cantley (2482020) MÉ i475,3.2,2.7,2.4,2.4,2.1,2.3,4.3,2.3,2.3,2.7,2.7,2.4,2.4,5,5,3.2,3.3,3.8,4.3,0,0
Chelsea (2482025) MÉ i476,3.4,2,1.8,2,2,2,2.6,2,2,2,2,2,2,0,0,3.2,3.4,4.1,4.5,0,0
Pontiac (2482030) MÉ i477,5.2,2.3,2.1,2.4,2.2,2.1,2.7,2.1,2.9,2.1,2.1,2.1,2.1,13.8,13.8,6.4,6.4,7.6,9.6,0,0
La Pêche (2482035) MÉ i478,7.7,2.2,2.3,2.2,1.9,1.9,3.1,2,2.3,2.2,2.2,1.9,1.9,3.8,3.8,6,6,7.3,8.1,0,0
Denholm (2483005) MÉ i479,23.1,0,0,0,0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,0,0,0,0,0,0,0,0
Clarence-Rockland (3502036) C i480,1.7,2,1.7,1.9,1.7,1.9,3,1.9,2,2.2,2.2,1.9,1.9,5.1,5.4,4,4.2,4.8,5.7,0,0
Russell (3502048) TP i481,1.3,1.6,1.2,1.5,1.4,1.6,2.7,1.6,2,1.7,1.7,1.7,1.7,4.8,4.8,3.1,3.1,4.2,4.9,0,0
Ottawa (3506008) CV i482,3.1,2,1.8,1.9,1.3,1.9,4.2,1.9,2.1,2.7,2.7,1.9,1.9,4.4,4.6,2.8,2.9,3.4,4.1,0,0
North Grenville (3507065) MU i483,2.2,2,1.8,1.8,1.5,1.8,3.1,1.8,1.9,2.4,2.4,1.8,1.8,4.6,5.2,4.1,4.2,5.1,5.8,0,0
Beckwith (3509024) TP i484,1.8,0.9,0.9,0.9,1.2,1,1.6,0.9,1.3,1.3,1.3,0.7,0.7,0,0,2.8,2.8,4.1,4.9,0,0
Carleton Place (3509028) T i485,2.3,1.4,1.3,1.2,1.1,1.4,3.5,1.6,1.8,2.1,2.1,1.2,1.2,2.3,2.3,3,3.3,3.4,4,0,0
Mississippi Mills (3509030) T i486,3.5,1.9,1.6,1.9,1.5,1.6,2.3,1.7,1.9,2.1,2.1,1.7,1.7,9.5,9.5,3.3,3.5,4,4.5,0,0
Arnprior (3547002) T i487,2.5,2.3,1.6,2.1,1.5,1.6,3.2,1.7,2.1,2.4,2.4,1.9,1.9,4.4,4.4,2,2,2.9,3.5,0,0
McNab/Braeside (3547003) TP i488,3,1.8,1.6,1.7,1.7,1.8,3.1,1.8,1.8,1.8,1.8,1.6,1.6,0,0,4.3,4.7,6.7,7.4,0,0
"Brockville (CA), Ont. i489",1.8,2.1,2,2,1.3,2,3.3,1.9,2,3.1,3.1,2.1,2.1,5.1,5.4,4.1,4.2,5.9,7.1,0,0
Elizabethtown-Kitley (3507014) TP i490,1.8,1.7,1.7,2,1.8,1.8,2.2,1.7,1.7,2.4,2.4,1.8,1.8,7,7,6.8,6.9,8.9,10,0,0
Brockville (3507015) CY i491,1.7,2.3,2.1,2,1.2,2.1,3.7,1.9,2.1,3.3,3.3,2.2,2.2,4.8,5.3,2.6,2.8,4.3,5.4,0,0
"Pembroke (CA), Ont. i492",2.7,5.5,5.1,5.2,4.5,5.3,6.8,5.3,5.6,5.9,5.9,5.3,5.3,11.9,12,5.7,5.9,7.2,8.4,0,0
Pembroke (3547064) CY i493,3.1,7.3,7,6.9,5.8,7.1,9.1,7.1,7.3,8,8,7.1,7.1,12.1,12.3,6.6,6.9,7.7,8.7,0,0
Laurentian Valley (3547075) TP i494,1.9,2.2,2,2.2,2.1,2,2.8,2,2.6,2.4,2.4,2.2,2.2,10,10,4.5,4.7,6.7,8.3,0,0
"Petawawa (CA), Ont. i495",2.3,0.7,0.7,1,0.9,0.9,1.5,0.9,1,2.4,2.4,1,1,2.5,2.9,2.5,2.5,3.9,5.3,0,0
Petawawa (3547076) T i496,2.3,0.7,0.7,1,0.9,0.9,1.5,0.9,1,2.4,2.4,1,1,2.5,2.9,2.5,2.5,3.9,5.3,0,0
"Kingston (CMA), Ont. i497",5.5,2.2,1.9,2.2,1.5,2.1,3.6,2.1,2.3,3.1,3.1,2.2,2.2,4.7,4.8,3.9,4,4.9,5.7,0,0
Frontenac Islands (3510005) TP i498,12.4,3.3,3.3,3.4,3.4,3.3,4.4,3.3,3.3,3.9,3.9,3.3,3.3,0,0,8,8,8,8,0,0
Kingston (3510010) CY i499,5.2,2.3,1.9,2.2,1.4,2.1,3.8,2.1,2.4,3.3,3.3,2.2,2.2,4.6,4.8,3.4,3.5,4.4,5.2,0,0
South Frontenac (3510020) TP i500,8.8,1.4,1.4,1.6,1.4,1.5,1.9,1.5,1.6,1.4,1.4,1.5,1.5,6,6,4.9,4.9,5.9,6.7,0,0
Loyalist (3511005) TP i501,2.9,2.5,2.4,2.5,2.4,2.5,3.8,2.5,2.6,2.9,2.9,2.4,2.4,5.2,5.2,5,5.2,5.8,6.8,0,0
"Belleville - Quinte West (CMA), Ont. i502",4,2.8,2.5,2.8,2.2,2.8,4.3,2.7,2.9,3.5,3.5,2.8,2.8,6.4,6.6,4.9,5,6.2,7.3,0,0
Tyendinaga (3512001) TP i503,1,3.3,3,3.2,3.2,3.3,3.9,3.3,3.3,3.9,3.9,3.3,3.3,0,0,9.1,9.1,12.6,13.6,0,0
Belleville (3512005) CY i504,4.6,3.3,2.8,3.4,2.5,3.2,5,3,3.2,4.1,4.1,3.3,3.3,6.5,6.7,4.8,5,5.8,6.5,0,0
Quinte West (3512015) CY i505,3.5,2.4,2.1,2.2,2,2.4,3.6,2.3,2.6,2.8,2.8,2.2,2.2,6.2,6.4,4.4,4.5,5.9,7.2,0,0
Stirling-Rawdon (3512020) TP i506,4.2,1,1,1.1,1.1,1,3,1,1.5,1.8,1.8,1.3,1.3,8.6,8.6,6.2,6.2,7.5,8.5,0,0
"Cobourg (CA), Ont. i507",1.9,2.3,1.7,2.1,1.4,1.9,3.3,1.8,1.9,3.2,3.2,2.1,2.1,6.1,6.3,3,3,4.3,4.9,0,0
Cobourg (3514021) T i508,1.9,2.3,1.7,2.1,1.4,1.9,3.3,1.8,1.9,3.2,3.2,2.1,2.1,6.1,6.3,3,3,4.3,4.9,0,0
"Port Hope (CA), Ont. i509",1.6,2.7,2.3,2.6,2.2,2.7,4.1,2.9,3.1,3.1,3.1,2.7,2.7,5.7,5.7,5.1,5.4,6.7,7.4,0,0
Port Hope (3514020) MU i510,1.6,2.7,2.3,2.6,2.2,2.7,4.1,2.9,3.1,3.1,3.1,2.7,2.7,5.7,5.7,5.1,5.4,6.7,7.4,0,0
"Peterborough (CMA), Ont. i511",5,2.6,2.2,2.4,2,2.4,3.9,2.4,2.6,3.5,3.5,2.5,2.5,4.8,4.9,5.1,5.3,6.5,7.6,30.8,23.1
Otonabee-South Monaghan (3515005) TP i512,5.3,3.1,2.7,2.9,2.5,3.3,4.9,3.3,3.3,3.1,3.1,3.3,3.3,14.8,14.8,7.8,7.8,8.9,10,0,0
Hiawatha First Nation (3515008) IRI i513,17.5,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,22.6,22.6,0,0,24,24,24,24,0,0
Cavan Monaghan (3515013) TP i514,3.3,3,2.8,2.9,2.9,3.2,3.8,3.4,3.7,3.4,3.4,3.2,3.2,6.7,6.7,7.4,7.4,8.1,9.2,0,0
Peterborough (3515014) CY i515,4.5,2.2,1.8,2,1.4,1.9,3.7,1.9,2.1,3.4,3.4,2,2,4.2,4.3,3.4,3.6,4.8,5.8,0,0
Selwyn (3515015) TP i516,5.8,2.7,2.4,2.5,2.1,2.3,3.3,2.3,2.3,2.6,2.6,2.4,2.4,9.7,10.3,5.2,5.5,6.6,7.8,0,0
Curve Lake First Nation 35 (3515019) IRI i517,13.6,22.2,23.1,23.1,22.2,22.2,23.1,21.3,21.3,23.1,23.1,21.1,21.1,15.4,15.4,27.6,26.4,31,33.3,30,40
Douro-Dummer (3515023) TP i518,8.4,1.7,1.5,1.8,1.6,2.4,3.2,2.2,2.2,2.4,2.4,2.1,2.1,0,0,8.8,8.8,10.9,12,0,0
"Kawartha Lakes (CA), Ont. i519",4.7,2.3,2.1,2.3,2,2.2,3.3,2.1,2.3,3.1,3.1,2.1,2.1,6.4,6.6,6.4,6.6,7.9,9.3,0,0
Kawartha Lakes (3516010) CY i520,4.7,2.3,2.1,2.3,2,2.2,3.3,2.1,2.3,3.1,3.1,2.1,2.1,6.4,6.6,6.4,6.6,7.9,9.3,0,0
"Centre Wellington (CA), Ont. i521",1.7,1.5,1.4,1.6,1.5,1.3,2.6,1.4,1.4,1.6,1.6,1.3,1.3,3.2,3.4,4.7,4.8,5.1,6,0,0
Centre Wellington (3523025) TP i522,1.7,1.5,1.4,1.6,1.5,1.3,2.6,1.4,1.4,1.6,1.6,1.3,1.3,3.2,3.4,4.7,4.8,5.1,6,0,0
"Oshawa (CMA), Ont. i523",3.3,2.7,2.5,2.7,2.1,2.7,4.2,2.6,2.9,3.3,3.3,2.7,2.7,5.4,5.6,4.5,4.5,5.2,6.1,0,0
Whitby (3518009) T i524,3.4,2.3,2.1,2.2,1.8,2.2,3.5,2.2,2.4,2.5,2.5,2.2,2.2,5,5.3,3.7,3.8,4.3,5.1,0,0
Oshawa (3518013) CY i525,3.7,3.1,2.8,3,2.2,3,4.8,3,3.2,4,4,3.1,3.1,5.4,5.4,4.9,4.9,5.8,6.9,0,0
Clarington (3518017) MU i526,2.5,2.6,2.4,2.7,2.5,2.6,3.7,2.5,2.8,2.8,2.8,2.6,2.6,6.2,6.6,4.8,4.9,5.3,6.1,0,0
"Ingersoll (CA), Ont. i527",1.2,2.5,2,3,2,2.5,3.8,2.2,2.4,3.1,3.1,2.4,2.4,5,5.4,3.1,3.1,3.7,4.2,0,0
Ingersoll (3532018) T i528,1.2,2.5,2,3,2,2.5,3.8,2.2,2.4,3.1,3.1,2.4,2.4,5,5.4,3.1,3.1,3.7,4.2,0,0
"Toronto (CMA), Ont. i529",3.6,2.8,2.5,2.7,1.7,2.7,5.6,2.7,3.2,3.5,3.5,2.7,2.7,5.2,5.3,4.4,4.5,5.3,6.6,75,75
Pickering (3518001) CY i530,2.2,2.4,2.3,2.5,2,2.4,4.8,2.4,2.6,2.8,2.8,2.3,2.3,4.6,4.7,4.3,4.4,5.2,6,0,0
Ajax (3518005) T i531,1.9,2.7,2.5,2.8,2.5,2.8,4.8,2.6,2.9,2.9,2.9,2.7,2.7,4.6,5,4.5,4.6,5.2,6.4,0,0
Uxbridge (3518029) TP i532,3.2,2.3,2,2,1.7,2.1,3.2,2.1,2.2,2.2,2.2,2.1,2.1,6.8,6.8,5.4,5.5,6.6,7.9,0,0
Vaughan (3519028) CY i533,2.3,2.6,2.4,2.5,2.2,2.5,4.5,2.5,2.7,2.7,2.7,2.5,2.5,5.3,5.5,4.5,4.7,5.4,6.6,0,0
Markham (3519036) CY i534,2,1.2,1.1,1.2,0.8,1.2,3.4,1.2,1.6,1.4,1.4,1.2,1.2,3.7,3.9,2.9,3,3.4,4.4,0,0
Richmond Hill (3519038) T i535,2.1,1.8,1.6,1.7,1.2,1.7,3.8,1.7,2,2,2,1.7,1.7,5.2,5.4,3,3.1,3.8,4.8,0,0
Whitchurch-Stouffville (3519044) T i536,1.6,1.4,1.3,1.3,1.2,1.4,2.9,1.3,1.6,1.7,1.7,1.3,1.3,4.7,5,3.2,3.4,3.7,5,0,0
Aurora (3519046) T i537,1.8,1.4,1.3,1.3,1.2,1.4,3.3,1.3,1.5,1.6,1.6,1.3,1.3,3.6,3.7,3,3.1,3.4,4.2,0,0
Newmarket (3519048) T i538,2.1,2.1,1.8,1.8,1.6,2,3.9,2,2.2,2.7,2.7,2,2,4.9,5.1,3.2,3.3,3.9,4.7,0,0
King (3519049) TP i539,3,3.3,3.1,3.2,2.9,3.2,4.3,3.1,3.3,3.8,3.8,3.2,3.2,12.9,12.9,8,8.1,9.2,10.3,0,0
East Gwillimbury (3519054) T i540,2.9,2.3,2.2,2.2,2.1,2.2,4.1,2.3,2.6,2.4,2.4,2.3,2.3,6.7,6.7,5.1,5.1,5.7,6.9,0,0
Georgina (3519070) T i541,4.6,2.3,2.1,2.1,1.9,2.3,3.7,2.3,2.5,2.8,2.8,2.2,2.2,6,6.1,5.2,5.2,6.1,7.3,0,0
Chippewas of Georgina Island First Nation (3519076) IRI i542,42.9,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,43.5,45.5,45.5,0,0,50,50,56.3,56.3,75,75
Toronto (3520005) C i543,4.7,2.9,2.6,2.7,1.3,2.7,6.3,2.8,3.4,3.8,3.8,2.8,2.8,5.1,5.2,4.3,4.4,5.5,6.9,0,0
Mississauga (3521005) CY i544,2.3,2.5,2.3,2.4,1.4,2.4,5.1,2.4,2.9,3.2,3.2,2.4,2.4,5.1,5.3,4.1,4.2,5.1,6.4,0,0
Brampton (3521010) CY i545,3.3,4.8,4.6,4.9,4.3,4.7,7.7,4.7,5.2,5.6,5.6,4.9,4.9,7.8,7.9,6.7,6.8,7.6,9.5,0,0
Caledon (3521024) T i546,3.8,4,3.9,4,3.9,4.1,5.5,4,4.2,4.1,4.1,4.1,4.1,10.8,11,6.6,6.8,7.3,8.7,0,0
Mono (3522012) T i547,3,2.9,2.7,2.8,2.8,3,3.5,3,3.2,3,3,2.9,2.9,20,20,7.5,7.5,8.4,9.4,0,0
Orangeville (3522014) T i548,2,2.2,1.9,1.9,1.5,2,3.7,2,2.2,2.4,2.4,2,2,4.1,4.3,3.5,3.5,4.4,5.2,0,0
Oakville (3524001) T i549,1.8,1.9,1.8,2,1.5,2,3.3,1.9,2.1,2.2,2.2,1.9,1.9,3.5,3.8,3.2,3.3,3.7,4.6,0,0
Milton (3524009) T i550,2.6,2.4,2.3,2.6,2.3,2.4,4,2.4,2.7,2.6,2.6,2.4,2.4,4,4.2,4.4,4.5,4.9,5.9,0,0
Halton Hills (3524015) T i551,2.2,3,2.9,3,2.7,3,4.1,3,3.2,3.1,3.1,2.9,2.9,8.9,9.2,3.7,3.9,4.4,5.5,0,0
New Tecumseth (3543007) T i552,2,2.2,2,2.1,1.9,2,3.5,2.1,2.1,2.4,2.4,2.1,2.1,5.5,5.5,4.3,4.4,4.8,5.6,0,0
Bradford West Gwillimbury (3543014) T i553,4.3,3.2,3,3.1,2.9,3.1,4.8,3.1,3.2,3.2,3.2,3,3,5.6,5.9,5.5,5.7,6.1,7.1,0,0
"Hamilton (CMA), Ont. i554",3,2.5,2.2,2.4,1.6,2.4,4.1,2.4,2.6,3.4,3.4,2.4,2.4,5.2,5.4,4,4.1,4.9,5.9,0,0
Burlington (3524002) CY i555,1.8,1.7,1.4,1.6,0.9,1.5,2.9,1.5,1.7,1.7,1.7,1.5,1.5,3,3.3,2.7,2.8,3.3,4.2,0,0
Hamilton (3525005) C i556,3.5,2.8,2.5,2.8,1.8,2.7,4.6,2.7,3,4,4,2.7,2.7,5.8,5.9,4.6,4.7,5.5,6.7,0,0
Grimsby (3526065) T i557,1.7,1.4,1.3,1.3,1.1,1.3,2.5,1.4,1.6,1.5,1.5,1.4,1.4,3.8,4.1,3.3,3.4,4.1,4.7,0,0
"St. Catharines - Niagara (CMA), Ont. i558",4.1,3,2.6,2.9,2.3,2.8,4.3,2.8,3,3.6,3.6,2.8,2.8,6.2,6.5,4.9,5.1,6.2,7.2,0,0
Fort Erie (3526003) T i559,5.9,2.9,2.6,3,2.5,2.8,3.8,2.7,2.9,3.4,3.4,2.7,2.7,6.5,6.7,4.8,4.9,6.5,7.7,0,0
Port Colborne (3526011) CY i560,7.9,3.2,2.6,2.8,2.5,2.9,4.2,2.8,3,3.6,3.6,2.9,2.9,6.1,6.8,6.3,6.4,8.6,9.4,0,0
Wainfleet (3526014) TP i561,6.7,3.3,3.1,3.4,3,3.3,3.8,3.3,3.6,3.8,3.8,3.1,3.1,13.8,13.8,9,9,10.7,12.6,0,0
Pelham (3526028) T i562,1.4,1.3,1.2,1.3,1.2,1.3,2.2,1.3,1.5,1.6,1.6,1.3,1.3,4.7,4.7,5.5,5.6,6.1,6.7,0,0
Welland (3526032) CY i563,3.6,2.9,2.5,2.7,2.2,2.7,4.2,2.8,3,4.6,4.6,2.7,2.7,5.8,6.4,4.8,5,5.9,6.4,0,0
Thorold (3526037) CY i564,5.6,4.5,4.1,4.4,3.9,4.3,6.5,4.3,4.6,4.7,4.7,4.2,4.2,8.1,8.3,6.4,6.4,7.2,8.4,0,0
Niagara Falls (3526043) CY i565,3.4,2.9,2.5,2.9,2.2,2.7,4.4,2.6,2.9,3.3,3.3,2.7,2.7,6.1,6.3,4.3,4.6,5.9,7.1,0,0
Niagara-on-the-Lake (3526047) T i566,6.2,3.2,2.9,3.1,2.9,3.1,4.1,3.1,3.2,3.2,3.2,3.1,3.1,12.2,12.6,6.1,6.2,7.2,8.5,0,0
St. Catharines (3526053) CY i567,3.7,3.3,2.8,3.1,2.3,3,4.7,2.9,3.3,3.8,3.8,3.1,3.1,5.8,6,4.3,4.5,5.5,6.5,0,0
Lincoln (3526057) T i568,2.2,1.6,1.4,1.4,1.6,1.5,2.7,1.5,1.5,1.5,1.5,1.5,1.5,6.7,6.7,5.1,5.2,6,6.9,0,0
"Kitchener - Cambridge - Waterloo (CMA), Ont. i569",3.3,2.3,2,2.1,1.5,2.2,4.1,2.1,2.8,3.1,3.1,2.2,2.2,4.8,5,3.6,3.7,4.4,5.3,0,0
North Dumfries (3530004) TP i570,1.5,1.4,0.9,0.8,0.8,1.1,2.6,0.8,0.9,1.1,1.1,1.1,1.1,11.6,12.8,3.3,3.3,5,6,0,0
Cambridge (3530010) CY i571,3.1,3.1,2.6,2.7,2,2.8,4.7,2.7,3,3.2,3.2,2.8,2.8,5.8,6,4.1,4.2,4.9,5.8,0,0
Kitchener (3530013) CY i572,2.9,2.2,2,2.1,1.3,2.2,4.3,2.2,2.4,3.5,3.5,2.3,2.3,4.8,4.9,3.4,3.5,4.4,5.4,0,0
Waterloo (3530016) CY i573,5,1.7,1.4,1.5,1,1.5,3.3,1.5,3.6,2.4,2.4,1.5,1.5,3.5,3.6,2.3,2.4,3,3.7,0,0
Wilmot (3530020) TP i574,1.6,2.6,2.5,2.7,2.6,2.8,4,2.8,2.9,2.9,2.9,2.7,2.7,7.4,8.3,5.6,5.6,6.2,6.8,0,0
Woolwich (3530035) TP i575,1.9,2.2,2.2,2,1.9,2,3.5,2,2.1,2.4,2.4,2.1,2.1,7.4,7.4,6.6,6.6,6.9,7.6,0,0
"Brantford (CMA), Ont. i576",3.7,3.3,2.8,3,2.5,3,4.5,2.9,3.3,3.9,3.9,3,3,6.7,6.9,5.1,5.2,6.3,7.4,0,0
Brant (3529005) CY i577,2.8,2.7,2.3,2.7,2.3,2.5,3.5,2.5,2.8,2.8,2.8,2.5,2.5,8.4,8.4,6.3,6.4,7.3,8.7,0,0
Brantford (3529006) CY i578,4,3.5,2.9,3.1,2.6,3.1,4.8,3.1,3.5,4.3,4.3,3.2,3.2,6.5,6.7,4.7,4.7,5.9,6.8,0,0
Six Nations (Part) 40 (3529020) IRI i579,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
"Woodstock (CA), Ont. i580",3,2.4,2.1,2.5,1.8,2.4,4,2.3,2.6,3.2,3.2,2.4,2.4,4.2,4.6,3.7,3.8,5.1,5.9,0,0
Woodstock (3532042) CY i581,3,2.4,2.1,2.5,1.8,2.4,4,2.3,2.6,3.2,3.2,2.4,2.4,4.2,4.6,3.7,3.8,5.1,5.9,0,0
"Tillsonburg (CA), Ont. i582",2.5,2.6,2.1,2.6,1.9,2.2,3.8,2.2,2.5,2.7,2.7,2.2,2.2,4.6,4.6,4.7,4.8,5,5.9,0,0
Tillsonburg (3532004) T i583,2.5,2.6,2.1,2.6,1.9,2.2,3.8,2.2,2.5,2.7,2.7,2.2,2.2,4.6,4.6,4.7,4.8,5,5.9,0,0
"Norfolk (CA), Ont. i584",3.1,3,2.8,3.1,2.9,3,4,3,3.1,3.5,3.5,3,3,8.9,9.3,7,7.1,8.4,9.4,0,0
Norfolk County (3528052) CY i585,3.1,3,2.8,3.1,2.9,3,4,3,3.1,3.5,3.5,3,3,8.9,9.3,7,7.1,8.4,9.4,0,0
"Guelph (CMA), Ont. i586",3.2,2.1,1.8,2,1.4,1.9,4,1.9,2.2,2.4,2.4,2,2,3.8,3.9,3.8,3.8,4.6,5.5,0,0
Puslinch (3523001) TP i587,2.4,2.4,2.3,2.5,2.7,2.3,3.1,2.1,2.4,2.6,2.6,2.3,2.3,0,0,9.5,9.6,11,11.5,0,0
Guelph (3523008) CY i588,3.3,2,1.7,1.9,1.3,1.9,4,1.9,2.2,2.4,2.4,1.9,1.9,3.6,3.8,3,3.1,3.8,4.6,0,0
Guelph/Eramosa (3523009) TP i589,2.8,2.3,2.1,2.3,2.1,2.5,4.3,2.4,2.5,2.8,2.8,2.4,2.4,9,9,6.4,6.7,7.7,9.2,0,0
"Stratford (CA), Ont. i590",1.8,2.1,1.9,2,1.3,1.9,3.7,2,2.1,2.9,2.9,1.9,1.9,5.4,5.5,2.9,3,3.4,4.2,0,0
Stratford (3531011) CY i591,1.8,2.1,1.9,2,1.3,1.9,3.7,2,2.1,2.9,2.9,1.9,1.9,5.4,5.5,2.9,3,3.4,4.2,0,0
"London (CMA), Ont. i592",3.3,2.3,2,2.2,1.4,2.1,4,2.1,2.4,3,3,2.1,2.1,4.8,5,3.9,4,4.9,5.8,0,0
Central Elgin (3534020) MU i593,6,2.8,2.7,2.5,2.4,2.6,3.6,2.6,2.5,2.7,2.7,2.5,2.5,7.3,7.3,5.6,5.6,6.6,7.2,0,0
St. Thomas (3534021) CY i594,3.8,1.9,1.5,1.7,1.3,1.8,3,1.6,1.8,2.4,2.4,1.8,1.8,4.9,5.2,3.1,3.1,4.6,5.6,0,0
Southwold (3534024) TP i595,4,3.8,3.5,3.5,3.5,3.5,3.8,3.2,3.2,3.2,3.2,2.9,2.9,0,11.5,10.4,10.8,11.1,12.2,0,0
Strathroy-Caradoc (3539015) MU i596,1.7,1.5,1.2,1.4,1.2,1.4,3,1.3,1.5,1.6,1.6,1.3,1.3,6.8,7,3.7,3.8,5.2,6.1,0,0
Thames Centre (3539027) MU i597,1.3,2.7,2.4,3,2.5,2.7,3.3,2.8,2.8,2.8,2.8,2.5,2.5,10.3,11.1,7.5,7.8,9.1,9.5,0,0
Middlesex Centre (3539033) MU i598,3.8,3.1,3,3.3,3.1,3.1,3.8,3.1,3.3,3,3,3,3,9.2,9.2,7.6,7.6,8.4,9.5,0,0
London (3539036) CY i599,3.3,2.3,2,2.2,1.2,2.1,4.2,2.1,2.4,3.2,3.2,2.2,2.2,4.6,4.8,3.4,3.5,4.4,5.2,0,0
